run_id,job_id,arrival_time_ms,service_time_ms,start_time_ms,finish_time_ms,waiting_time_ms,execution_time_ms,response_time_ms,cpu_usage_percent,memory_usage_mb,slowdown,priority
abff7967f6,PR00161,4086,393,58560000,58560393,58555914,393,58556307,13.65,4545.86328125,148998.23664122136,-4
abff7967f6,PR00162,4116,441,66920000,66920441,66915884,441,66916325,12.5,4543.4921875,151737.6984126984,-1
abff7967f6,PR00163,4125,544,72900000,72900544,72895875,544,72896419,47.0,4548.078125,134000.77022058822,1
abff7967f6,PR00164,4173,523,94740000,94740523,94735827,523,94736350,34.849999999999994,4562.3984375,181140.2485659656,11
abff7967f6,PR00165,4188,286,58700000,58700286,58695812,286,58696098,11.1,4545.86328125,205231.1118881119,-4
abff7967f6,PR00166,4231,189,40800000,40800189,40795769,189,40795958,33.8,4546.2890625,215851.62962962964,-10
abff7967f6,PR00167,4259,212,112840000,112840212,112835741,212,112835953,60.55,4551.05859375,532245.0613207547,19
abff7967f6,PR00168,4280,573,107800000,107800573,107795720,573,107796293,16.65,4550.640625,188126.16579406633,17
abff7967f6,PR00169,4318,242,73000000,73000242,72995682,242,72995924,20.85,4548.078125,301636.0495867769,1
abff7967f6,PR00170,4324,273,25980000,25980273,25975676,273,25975949,50.95,4543.1484375,95149.99633699634,-14
abff7967f6,PR00171,4337,152,29260000,29260152,29255663,152,29255815,22.95,4544.828125,192472.46710526315,-13
abff7967f6,PR00172,4387,451,64320000,64320451,64315613,451,64316064,12.0,4541.07421875,142607.68070953435,-2
abff7967f6,PR00173,4412,568,77060000,77060568,77055588,568,77056156,11.9,4547.47265625,135662.24647887325,2
abff7967f6,PR00174,4456,323,26020000,26020323,26015544,323,26015867,52.1,4543.1484375,80544.47987616099,-14
abff7967f6,PR00175,4496,86,20960000,20960086,20955504,86,20955590,75.0,4544.046875,243669.6511627907,-15
abff7967f6,PR00176,4509,613,89560000,89560613,89555491,613,89556104,34.4,4560.0078125,146094.78629690048,8
abff7967f6,PR00177,4517,316,94840000,94840316,94835483,316,94835799,16.65,4562.3984375,300113.28797468357,11
abff7967f6,PR00178,4541,149,26160000,26160149,26155459,149,26155608,48.8,4543.1484375,175540.9932885906,-14
abff7967f6,PR00179,4580,98,17240000,17240098,17235420,98,17235518,37.5,4542.91796875,175872.6326530612,-16
abff7967f6,PR00180,4596,183,85780000,85780183,85775404,183,85775587,14.3,4556.9375,468719.05464480876,6
abff7967f6,PR00181,4627,298,58820000,58820298,58815373,298,58815671,29.15,4545.86328125,197368.02348993288,-4
abff7967f6,PR00182,4633,473,58880000,58880473,58875367,473,58875840,11.65,4545.86328125,124473.23467230445,-4
abff7967f6,PR00183,4647,440,78940000,78940440,78935353,440,78935793,15.2,4554.0859375,179399.52954545454,3
abff7967f6,PR00184,4661,273,21100000,21100273,21095339,273,21095612,25.7,4544.515625,77273.30402930402,-15
abff7967f6,PR00185,4668,191,8940000,8940191,8935332,191,8935523,71.65,4538.94921875,46782.84293193717,-18
abff7967f6,PR00186,4710,288,81920000,81920288,81915290,288,81915578,18.0,4556.28515625,284429.09027777775,4
abff7967f6,PR00187,4736,110,21200000,21200110,21195264,110,21195374,47.9,4548.796875,192685.21818181817,-15
abff7967f6,PR00188,4746,444,52920000,52920444,52915254,444,52915698,37.1,4543.2578125,119179.5,-6
abff7967f6,PR00189,4761,529,77160000,77160529,77155239,529,77155768,40.2,4547.47265625,145852.1134215501,2
abff7967f6,PR00190,4779,465,61460000,61460465,61455221,465,61455686,36.35,4547.75,132162.76559139785,-3
abff7967f6,PR00191,4811,203,52960000,52960203,52955189,203,52955392,13.65,4543.875,260864.0,-6
abff7967f6,PR00192,4861,240,37220000,37220240,37215139,240,37215379,36.35,4547.8203125,155064.07916666666,-11
abff7967f6,PR00193,4901,119,13540000,13540119,13535099,119,13535218,13.05,4546.546875,113741.32773109243,-17
abff7967f6,PR00194,4907,91,13560000,13560091,13555093,91,13555184,36.35,4546.546875,148958.06593406593,-17
abff7967f6,PR00195,4919,216,73100000,73100216,73095081,216,73095297,46.75,4548.078125,338404.15277777775,1
abff7967f6,PR00196,4930,696,110460000,110460696,110455070,696,110455766,16.65,4550.3828125,158700.8132183908,18
abff7967f6,PR00197,4975,201,37360000,37360201,37355025,201,37355226,37.5,4548.0546875,185846.89552238805,-11
abff7967f6,PR00198,4985,474,61480000,61480474,61475015,474,61475489,11.1,4547.75,129695.12447257384,-3
abff7967f6,PR00199,5007,89,55400000,55400089,55394993,89,55395082,45.25,4544.40234375,622416.6516853933,-5
abff7967f6,PR00200,5018,517,64480000,64480517,64474982,517,64475499,35.0,4541.07421875,124710.82978723405,-2
abff7967f6,PR00201,5045,71,69980000,69980071,69974955,71,69975026,40.15,4545.8671875,985563.7464788732,0
abff7967f6,PR00202,5094,146,40920000,40920146,40914906,146,40915052,9.6,4546.2890625,280240.08219178085,-10
abff7967f6,PR00203,5111,298,55480000,55480298,55474889,298,55475187,29.15,4544.40234375,186158.3456375839,-5
abff7967f6,PR00204,5149,314,105560000,105560314,105554851,314,105555165,38.15,4550.62890625,336162.9458598726,16
abff7967f6,PR00205,5157,92,66960000,66960092,66954843,92,66954935,30.549999999999997,4543.4921875,727771.0326086957,-1
abff7967f6,PR00206,5195,218,64540000,64540218,64534805,218,64535023,12.5,4541.07421875,296032.2155963303,-2
abff7967f6,PR00207,5241,661,107860000,107860661,107854759,661,107855420,15.9,4550.66015625,163170.0756429652,17
abff7967f6,PR00208,5276,176,21320000,21320176,21314724,176,21314900,24.0,4548.90234375,121107.38636363637,-15
abff7967f6,PR00209,5281,103,46460000,46460103,46454719,103,46454822,10.0,4549.7734375,451017.68932038837,-8
abff7967f6,PR00210,5320,21,4260000,4260021,4254680,21,4254701,17.5,4537.69921875,202604.80952380953,-19
abff7967f6,PR00211,5329,395,61560000,61560395,61554671,395,61555066,12.0,4547.75,155835.61012658227,-3
abff7967f6,PR00212,5355,256,37420000,37420256,37414645,256,37414901,13.65,4548.0234375,146151.95703125,-11
abff7967f6,PR00213,5375,737,99760000,99760737,99754625,737,99755362,12.5,4556.75,135353.27272727274,13
abff7967f6,PR00214,5395,453,58960000,58960453,58954605,453,58955058,11.35,4545.86328125,130143.61589403973,-4
abff7967f6,PR00215,5420,323,59120000,59120323,59114580,323,59114903,11.9,4545.86328125,183018.27554179568,-4
abff7967f6,PR00216,5436,628,87860000,87860628,87854564,628,87855192,36.55,4559.5234375,139896.8025477707,7
abff7967f6,PR00217,5471,27,55560000,55560027,55554529,27,55554556,14.3,4544.40234375,2057576.148148148,-5
abff7967f6,PR00218,5507,34,46700000,46700034,46694493,34,46694527,37.5,4549.5234375,1373368.4411764706,-8
abff7967f6,PR00219,5545,135,17300000,17300135,17294455,135,17294590,14.6,4542.91796875,128108.07407407407,-16
abff7967f6,PR00220,5583,620,87920000,87920620,87914417,620,87915037,10.55,4559.5234375,141798.44677419355,7
abff7967f6,PR00221,5589,200,97580000,97580200,97574411,200,97574611,45.0,4554.671875,487873.055,12
abff7967f6,PR00222,5602,127,43720000,43720127,43714398,127,43714525,30.099999999999998,4548.6015625,344208.85826771654,-9
abff7967f6,PR00223,5617,220,21440000,21440220,21434383,220,21434603,39.75,4548.9296875,97430.01363636364,-15
abff7967f6,PR00224,5629,452,89680000,89680452,89674371,452,89674823,12.5,4560.0078125,198395.6261061947,8
abff7967f6,PR00225,5659,40,33000000,33000040,32994341,40,32994381,17.25,4544.49609375,824859.525,-12
abff7967f6,PR00226,5680,149,21600000,21600149,21594320,149,21594469,23.2,4548.9296875,144929.322147651,-15
abff7967f6,PR00227,5690,31,21700000,21700031,21694310,31,21694341,25.0,4548.83203125,699817.4516129033,-15
abff7967f6,PR00228,5708,141,73160000,73160141,73154292,141,73154433,55.55,4548.078125,518825.7659574468,1
abff7967f6,PR00229,5741,235,4540000,4540235,4534259,235,4534494,39.25,4537.67578125,19295.71914893617,-19
abff7967f6,PR00230,5790,677,105600000,105600677,105594210,677,105594887,13.15,4550.62890625,155974.7223042836,16
abff7967f6,PR00231,5797,224,99960000,99960224,99954203,224,99954427,29.599999999999998,4556.75,446225.12053571426,13
abff7967f6,PR00232,5843,168,55740000,55740168,55734157,168,55734325,61.1,4544.40234375,331751.9345238095,-5
abff7967f6,PR00233,5853,115,9120000,9120115,9114147,115,9114262,81.25,4538.94921875,79254.45217391304,-18
abff7967f6,PR00234,5858,505,73360000,73360505,73354142,505,73354647,20.35,4549.80078125,145256.72673267327,1
abff7967f6,PR00235,5865,584,81980000,81980584,81974135,584,81974719,17.3,4556.28515625,140367.66952054793,4
abff7967f6,PR00236,5880,296,61800000,61800296,61794120,296,61794416,13.65,4547.75,208764.9189189189,-3
abff7967f6,PR00237,5900,191,9360000,9360191,9354100,191,9354291,88.9,4539.38671875,48975.34554973822,-18
abff7967f6,PR00238,5919,143,55800000,55800143,55794081,143,55794224,13.65,4544.40234375,390169.3986013986,-5
abff7967f6,PR00239,5921,62,46780000,46780062,46774079,62,46774141,15.0,4549.5234375,754421.6290322581,-8
abff7967f6,PR00240,5954,134,26260000,26260134,26254046,134,26254180,22.2,4543.3828125,195926.71641791044,-14
abff7967f6,PR00241,5969,191,59220000,59220191,59214031,191,59214222,45.25,4546.75390625,310022.1047120419,-4
abff7967f6,PR00242,5999,195,73440000,73440195,73434001,195,73434196,52.900000000000006,4549.80078125,376585.6205128205,1
abff7967f6,PR00243,6011,398,43820000,43820398,43813989,398,43814387,37.0,4548.84375,110086.39949748744,-9
abff7967f6,PR00244,6024,285,64600000,64600285,64593976,285,64594261,10.85,4541.07421875,226646.5298245614,-2
